"Код;Наименование;Уровень1;Уровень2;Уровень3;Цена;ЦенаСП;Количество;Поля свойств;Совместные покупки;Единица измерения;Картинка;Выводить на главной;Описание"
"Б0001471;Вентилятор осевой вытяжной с сеткой D 125 (ERA 5S);Import;Модульные системы вентиляции;;34675;33945;1;;;шт;_MG_8088;0;"
"Б0001461;Решетка металлическая с москитной сеткой 300х300мм  (3030МЭ);Import;Модульные системы вентиляции;;21755;21297;2;;;шт;;0;"
"Б0001466;Решетка наклонная круглая D125D50 (12РК);Import;Модульные системы вентиляции;;4275;4140;8;;;шт;;0;"
"Б0001454;Решетка радиаторная коричневая 450х133мм (4513РПк);Import;Модульные системы вентиляции;;6840;6624;1;;;шт;;0;"
"Б0001455;Решетка радиаторная черная 450х133мм (4513РПч);Import;Модульные системы вентиляции;;5415;5244;2;;;шт;;0;"
"Б0001459;Решетка разъемн. с моск. сеткой 250х250ммполистирол (2525Р ПС);Import;Модульные системы вентиляции;;7410;7254;10;;;шт;;0;"
"Б0001456;Решетка с моск. сеткой 138х138ммнаклон.жалюзи полистирол (1313С ПС);Import;Модульные системы вентиляции;;2850;2790;1;;;шт;;0;"
"Б0001457;Решетка с моск. сеткой 170х240ммнаклон.жалюзи полистирол(1724С ПС);Import;Модульные системы вентиляции;;3135;3069;1;;;шт;;0;"
"Б0001458;Решетка с москитной сеткой 234х234ммнаклон.жалюзи (2323С);Import;Модульные системы вентиляции;;6175;5980;3;;;шт;;0;"
"Б0002650;Лобзик электрический GST 90 BE;Import;;;;;1;;;шт;;0;"
"Б0000270;Пенополиэтилен Полифом 4 ммшир. 1.5м;Import;;;5795;5673;13;;;пог.м;sd_00048;0;"
"Б0000874;Пенотерм 10ммЛФ   шир.12х15м;Import;;;457900;448260;1;;;рул;;0;"
"Б0000268;Распил;Import;;;5000;;90;;;шт;;0;"
"Б0003088;Шпингалет \Ликчел\ ЗТ-12-ОР цинк.;Import;;;;;14;;;шт;;0;"
"Б0000925;Дождеприемник РР  300*300  4300;Водосточная система;Аквасток;;63650;62310;1;;;шт;;0;"
"Б0000129;Канал пластиковый DN 100 Н 120  11012;Водосточная система;Аквасток;;37050;36270;1;;;шт;;0;"
"Б0002595;Канал пластиковый DN 100 Н 150  11018;Водосточная система;Аквасток;;45410;44454;1;;;шт;;0;"
"Б0001596;Канал пластиковый DN 200 H 280  12028;Водосточная система;Аквасток;;91200;89280;1;;;шт;;0;"
"Б0003552;Канал пластиковый в сборе с оцинкованной решеткой  1091 черный;Водосточная система;Аквасток;;58330;57102;1;;;шт;;0;"
"Б0000376;Канал пластиковый серый в сборе с оцинкованной решеткой  1091с;Водосточная система;Аквасток;;64600;63240;1;;;шт;;0;"
